Sample,raw_total_sequences,sequences,reads_mapped,reads_unmapped,total_length,total_first_fragment_length,bases_mapped,bases_mapped_(cigar),reads_mapped_percent,reads_unmapped_percent,average_length,average_first_fragment_length,average_last_fragment_length,maximum_length,maximum_first_fragment_length
10027-1-25.BWA,845263,845263,36659,808604,60858936,60858936,2639448,2355589,4.336993338,95.66300666,72,72,0,72,72
10027-1-50.BWA,1689290,1689290,73123,1616167,121628880,121628880,5264856,4699274,4.328623268,95.67137673,72,72,0,72,72
10027-1-75.BWA,2533105,2533105,109577,2423528,182383560,182383560,7889544,7042059,4.325797786,95.67420221,72,72,0,72,72
10027-1.BWA,3378392,3378392,145929,3232463,243244224,243244224,10506888,9379210,4.319480984,95.68051902,72,72,0,72,72
10027-2-25.BWA,251092,251092,37827,213265,17827532,17827532,2685717,2533823,15.0649961,84.9350039,71,71,0,71,71
10027-2-50.BWA,501111,501111,75530,425581,35578881,35578881,5362630,5059465,15.07250889,84.92749111,71,71,0,71,71
10027-2-75.BWA,750968,750968,113155,637813,53318728,53318728,8034005,7582078,15.06788572,84.93211428,71,71,0,71,71
10027-2.BWA,1001910,1001910,150975,850935,71135610,71135610,10719225,10118468,15.06871875,84.93128125,71,71,0,71,71
10028-1-25.BWA,187848,187848,177818,10030,13525056,13525056,12802896,11104093,94.66057664,5.339423364,72,72,0,72,72
10028-1-50.BWA,375035,375035,355084,19951,27002520,27002520,25566048,22178053,94.68022985,5.319770155,72,72,0,72,72
10028-1-75.BWA,562456,562456,532482,29974,40496832,40496832,38338704,33264372,94.67087203,5.329127967,72,72,0,72,72
10028-1.BWA,750623,750623,710728,39895,54044856,54044856,51172416,44396060,94.68508159,5.314918408,72,72,0,72,72
10028-2-25.BWA,186770,186770,38919,147851,13260670,13260670,2763249,2560343,20.837929,79.162071,71,71,0,71,71
10028-2-50.BWA,373714,373714,77848,295866,26533694,26533694,5527208,5126212,20.83090278,79.16909722,71,71,0,71,71
10028-2-75.BWA,559773,559773,116459,443314,39743883,39743883,8268589,7668625,20.80468333,79.19531667,71,71,0,71,71
10028-2.BWA,747394,747394,155589,591805,53064974,53064974,11046819,10247054,20.81753399,79.18246601,71,71,0,71,71
10029-1-25.BWA,316376,316376,256889,59487,22779072,22779072,18496008,17783823,81.19737275,18.80262725,72,72,0,72,72
10029-1-50.BWA,631109,631109,512383,118726,45439848,45439848,36891576,35482130,81.18771876,18.81228124,72,72,0,72,72
10029-1-75.BWA,946163,946163,768064,178099,68123736,68123736,55300608,53188311,81.17671057,18.82328943,72,72,0,72,72
10029-1.BWA,1262508,1262508,1024719,237789,90900576,90900576,73779768,70961451,81.16534707,18.83465293,72,72,0,72,72
10029-2-25.BWA,814627,814627,94304,720323,57838517,57838517,6695584,6543329,11.57634107,88.42365893,71,71,0,71,71
10029-2-50.BWA,1627997,1627997,188400,1439597,115587787,115587787,13376400,13070346,11.5725029,88.4274971,71,71,0,71,71
10029-2-75.BWA,2440132,2440132,282272,2157860,173249372,173249372,20041312,19581834,11.56789879,88.43210121,71,71,0,71,71
10029-2.BWA,3255771,3255771,376042,2879729,231159741,231159741,26698982,26088072,11.55001381,88.44998619,71,71,0,71,71
