Sample,reads_mapped,average_length,average_first_fragment_length,maximum_length,maximum_first_fragment_length
10039-2-50.BWA.virus,5079,71,71,71,71
10039-2-75.BWA,53385,71,71,71,71
10039-2-75.BWA.virus,7561,71,71,71,71
10039-2.BWA,71229,71,71,71,71
10039-2.BWA.virus,10119,71,71,71,71
10040-1-25.BWA,585143,72,72,72,72
10040-1-25.BWA.virus,410405,72,72,72,72
10040-1-50.BWA,1168888,72,72,72,72
10040-1-50.BWA.virus,820173,72,72,72,72
10040-1-75.BWA,1752279,72,72,72,72
10040-1-75.BWA.virus,1229691,72,72,72,72
10040-1.BWA,2336603,72,72,72,72
10040-1.BWA.virus,1639489,72,72,72,72
10040-2-25.BWA,490634,71,71,71,71
10040-2-25.BWA.virus,466716,71,71,71,71
10040-2-50.BWA,982184,71,71,71,71
10040-2-50.BWA.virus,934260,71,71,71,71
10040-2-75.BWA,1471931,71,71,71,71
10040-2-75.BWA.virus,1400148,71,71,71,71
10040-2.BWA,1964306,71,71,71,71
10040-2.BWA.virus,1868388,71,71,71,71
10042-1-25.BWA,305418,72,72,72,72
10042-1-25.BWA.virus,71100,72,72,72,72
10042-1-50.BWA,609146,72,72,72,72
10042-1-50.BWA.virus,142046,72,72,72,72
10042-1-75.BWA,913767,72,72,72,72
10042-1-75.BWA.virus,213244,72,72,72,72
10042-1.BWA,1220105,72,72,72,72
10042-1.BWA.virus,284518,72,72,72,72
10042-2-25.BWA,58801,71,71,71,71
10042-2-25.BWA.virus,37600,71,71,71,71
10042-2-50.BWA,117571,71,71,71,71
10042-2-50.BWA.virus,75309,71,71,71,71
10042-2-75.BWA,176315,71,71,71,71
10042-2-75.BWA.virus,112921,71,71,71,71
10042-2.BWA,235328,71,71,71,71
10042-2.BWA.virus,150954,71,71,71,71
10088-1-25.BWA,485425,72,72,72,72
10088-1-25.BWA.virus,207238,72,72,72,72
10088-1-50.BWA,970624,72,72,72,72
10088-1-50.BWA.virus,414083,72,72,72,72
10088-1-75.BWA,1455194,72,72,72,72
10088-1-75.BWA.virus,621303,72,72,72,72
10088-1.BWA,1940992,72,72,72,72
10088-1.BWA.virus,828625,72,72,72,72
10088-2-25.BWA,78817,71,71,71,71
10088-2-25.BWA.virus,47939,71,71,71,71
10088-2-50.BWA,156782,71,71,71,71
10088-2-50.BWA.virus,95429,71,71,71,71
10088-2-75.BWA,234964,71,71,71,71
10088-2-75.BWA.virus,143034,71,71,71,71
10088-2.BWA,313830,71,71,71,71
10088-2.BWA.virus,191088,71,71,71,71
10089-1-25.BWA,188160,72,72,72,72
10089-1-25.BWA.virus,90040,72,72,72,72
10089-1-50.BWA,375503,72,72,72,72
10089-1-50.BWA.virus,179735,72,72,72,72
10089-1-75.BWA,562706,72,72,72,72
10089-1-75.BWA.virus,269365,72,72,72,72
10089-1.BWA,751209,72,72,72,72
10089-1.BWA.virus,359776,72,72,72,72
10089-2-25.BWA,89357,71,71,71,71
10089-2-25.BWA.virus,40519,71,71,71,71
10089-2-50.BWA,178572,71,71,71,71
10089-2-50.BWA.virus,80817,71,71,71,71
10089-2-75.BWA,267886,71,71,71,71
10089-2-75.BWA.virus,120882,71,71,71,71
10089-2.BWA,357659,71,71,71,71
10089-2.BWA.virus,161520,71,71,71,71
10091-1-25.BWA,584841,72,72,72,72
10091-1-25.BWA.virus,38001,72,72,72,72
10091-1-50.BWA,1168325,72,72,72,72
10091-1-50.BWA.virus,76107,72,72,72,72
10091-1-75.BWA,1750311,72,72,72,72
10091-1-75.BWA.virus,114295,72,72,72,72
10091-1.BWA,2333893,72,72,72,72
10091-1.BWA.virus,152264,72,72,72,72
10091-2-25.BWA,68745,71,71,71,71
10091-2-25.BWA.virus,4567,71,71,71,71
10091-2-50.BWA,137144,71,71,71,71
10091-2-50.BWA.virus,9137,71,71,71,71
10091-2-75.BWA,205789,71,71,71,71
10091-2-75.BWA.virus,13614,71,71,71,71
10091-2.BWA,274787,71,71,71,71
10091-2.BWA.virus,18142,71,71,71,71
10094-1-25.BWA,404671,72,72,72,72
10094-1-25.BWA.virus,148347,72,72,72,72
10094-1-50.BWA,809168,72,72,72,72
10094-1-50.BWA.virus,296100,72,72,72,72
10094-1-75.BWA,1211985,72,72,72,72
10094-1-75.BWA.virus,443933,72,72,72,72
10094-1.BWA,1617818,72,72,72,72
10094-1.BWA.virus,592560,72,72,72,72
10094-2-25.BWA,48834,71,71,71,71
10094-2-25.BWA.virus,30159,71,71,71,71
10094-2-50.BWA,97024,71,71,71,71
10094-2-50.BWA.virus,60059,71,71,71,71
10094-2-75.BWA,145023,71,71,71,71
10094-2-75.BWA.virus,89840,71,71,71,71
10094-2.BWA,193266,71,71,71,71
10094-2.BWA.virus,119804,71,71,71,71
10102-1-25.BWA,799289,72,72,72,72
10102-1-25.BWA.virus,273144,72,72,72,72
10102-1-50.BWA,1598347,72,72,72,72
10102-1-50.BWA.virus,546166,72,72,72,72
10102-1-75.BWA,2395694,72,72,72,72
10102-1-75.BWA.virus,818583,72,72,72,72
10102-1.BWA,3195969,72,72,72,72
10102-1.BWA.virus,1092744,72,72,72,72
10102-2-25.BWA,491809,71,71,71,71
10102-2-25.BWA.virus,424123,71,71,71,71
10102-2-50.BWA,984247,71,71,71,71
10102-2-50.BWA.virus,848827,71,71,71,71
10102-2-75.BWA,1474923,71,71,71,71
10102-2-75.BWA.virus,1271734,71,71,71,71
10102-2.BWA,1967408,71,71,71,71
10102-2.BWA.virus,1696237,71,71,71,71
10106-1-25.BWA,446817,72,72,72,72
10106-1-25.BWA.virus,8849,72,72,72,72
10106-1-50.BWA,893655,72,72,72,72
10106-1-50.BWA.virus,17660,72,72,72,72
10106-1-75.BWA,1339383,72,72,72,72
10106-1-75.BWA.virus,26611,72,72,72,72
10106-1.BWA,1787499,72,72,72,72
10106-1.BWA.virus,35486,72,72,72,72
10106-2-25.BWA,466570,71,71,71,71
10106-2-25.BWA.virus,232952,71,71,71,71
10106-2-50.BWA,931477,71,71,71,71
10106-2-50.BWA.virus,465088,71,71,71,71
10106-2-75.BWA,1396245,71,71,71,71
10106-2-75.BWA.virus,697157,71,71,71,71
10106-2.BWA,1861491,71,71,71,71
10106-2.BWA.virus,929823,71,71,71,71
10107-1-25.BWA,305319,72,72,72,72
10107-1-25.BWA.virus,5670,72,72,72,72
10107-1-50.BWA,610435,72,72,72,72
10107-1-50.BWA.virus,11353,72,72,72,72
10107-1-75.BWA,914382,72,72,72,72
10107-1-75.BWA.virus,17010,72,72,72,72
10107-1.BWA,1220904,72,72,72,72
10107-1.BWA.virus,22735,72,72,72,72
10107-2-25.BWA,125917,71,71,71,71
10107-2-25.BWA.virus,69865,71,71,71,71
10107-2-50.BWA,251495,71,71,71,71
10107-2-50.BWA.virus,139655,71,71,71,71
10107-2-75.BWA,376607,71,71,71,71
10107-2-75.BWA.virus,209603,71,71,71,71
10107-2.BWA,502378,71,71,71,71
10107-2.BWA.virus,279151,71,71,71,71
10110-1-25.BWA,9910,72,72,72,72
10110-1-25.BWA.virus,1595,72,72,72,72
10110-1-50.BWA,20159,72,72,72,72
10110-1-50.BWA.virus,3264,72,72,72,72
10110-1-75.BWA,30239,72,72,72,72
10110-1-75.BWA.virus,4744,72,72,72,72
10110-1.BWA,40370,72,72,72,72
10110-1.BWA.virus,6300,72,72,72,72
10110-2-25.BWA,296713,71,71,71,71
10110-2-25.BWA.virus,257545,71,71,71,71
10110-2-50.BWA,593621,71,71,71,71
10110-2-50.BWA.virus,515087,71,71,71,71
10110-2-75.BWA,890232,71,71,71,71
10110-2-75.BWA.virus,772568,71,71,71,71
10110-2.BWA,1188031,71,71,71,71
10110-2.BWA.virus,1030903,71,71,71,71
10114-1-25.BWA,462530,72,72,72,72
10114-1-25.BWA.virus,76951,72,72,72,72
10114-1-50.BWA,925277,72,72,72,72
10114-1-50.BWA.virus,153688,72,72,72,72
10114-1-75.BWA,1386458,72,72,72,72
10114-1-75.BWA.virus,230357,72,72,72,72
10114-1.BWA,1850094,72,72,72,72
10114-1.BWA.virus,307336,72,72,72,72
10114-2-25.BWA,51274,71,71,71,71
10114-2-25.BWA.virus,10418,71,71,71,71
10114-2-50.BWA,102667,71,71,71,71
10114-2-50.BWA.virus,20786,71,71,71,71
10114-2-75.BWA,153952,71,71,71,71
10114-2-75.BWA.virus,31153,71,71,71,71
10114-2.BWA,205338,71,71,71,71
10114-2.BWA.virus,41541,71,71,71,71
10117-1-25.BWA,156930,72,72,72,72
10117-1-25.BWA.virus,95620,72,72,72,72
10117-1-50.BWA,313353,72,72,72,72
10117-1-50.BWA.virus,190886,72,72,72,72
10117-1-75.BWA,469737,72,72,72,72
10117-1-75.BWA.virus,286162,72,72,72,72
10117-1.BWA,626083,72,72,72,72
10117-1.BWA.virus,381311,72,72,72,72
10117-2-25.BWA,91266,71,71,71,71
10117-2-25.BWA.virus,61454,71,71,71,71
10117-2-50.BWA,182419,71,71,71,71
10117-2-50.BWA.virus,122627,71,71,71,71
10117-2-75.BWA,272765,71,71,71,71
10117-2-75.BWA.virus,183308,71,71,71,71
10117-2.BWA,363982,71,71,71,71
10117-2.BWA.virus,244794,71,71,71,71
10118-1-25.BWA,243057,72,72,72,72
10118-1-25.BWA.virus,125454,72,72,72,72
10118-1-50.BWA,484898,72,72,72,72
10118-1-50.BWA.virus,249719,72,72,72,72
10118-1-75.BWA,726583,72,72,72,72
10118-1-75.BWA.virus,373852,72,72,72,72
10118-1.BWA,969007,72,72,72,72
10118-1.BWA.virus,498799,72,72,72,72
10118-2-25.BWA,167772,71,71,71,71
10118-2-25.BWA.virus,142697,71,71,71,71
10118-2-50.BWA,335146,71,71,71,71
10118-2-50.BWA.virus,284963,71,71,71,71
10118-2-75.BWA,502578,71,71,71,71
10118-2-75.BWA.virus,427314,71,71,71,71
10118-2.BWA,670071,71,71,71,71
10118-2.BWA.virus,569547,71,71,71,71
10127-1-25.BWA,212397,72,72,72,72
10127-1-25.BWA.virus,134061,72,72,72,72
10127-1-50.BWA,423503,72,72,72,72
10127-1-50.BWA.virus,267399,72,72,72,72
10127-1-75.BWA,634831,72,72,72,72
10127-1-75.BWA.virus,400916,72,72,72,72
10127-1.BWA,847210,72,72,72,72
10127-1.BWA.virus,535065,72,72,72,72
10127-2-25.BWA,424693,71,71,71,71
10127-2-25.BWA.virus,390152,71,71,71,71
10127-2-50.BWA,849526,71,71,71,71
10127-2-50.BWA.virus,780731,71,71,71,71
10127-2-75.BWA,1272421,71,71,71,71
10127-2-75.BWA.virus,1169227,71,71,71,71
10127-2.BWA,1697711,71,71,71,71
10127-2.BWA.virus,1560170,71,71,71,71
10128-1-25.BWA,179071,72,72,72,72
10128-1-25.BWA.virus,130661,72,72,72,72
10128-1-50.BWA,357550,72,72,72,72
10128-1-50.BWA.virus,261180,72,72,72,72
10128-1-75.BWA,535784,72,72,72,72
10128-1-75.BWA.virus,391608,72,72,72,72
10128-1.BWA,715466,72,72,72,72
10128-1.BWA.virus,522957,72,72,72,72
10128-2-25.BWA,274613,71,71,71,71
10128-2-25.BWA.virus,252196,71,71,71,71
10128-2-50.BWA,549509,71,71,71,71
10128-2-50.BWA.virus,504427,71,71,71,71
10128-2-75.BWA,823269,71,71,71,71
10128-2-75.BWA.virus,755698,71,71,71,71
10128-2.BWA,1098526,71,71,71,71
10128-2.BWA.virus,1008452,71,71,71,71
10129-1-25.BWA,1031722,72,72,72,72
10129-1-25.BWA.virus,526010,72,72,72,72
10129-1-50.BWA,2062696,72,72,72,72
10129-1-50.BWA.virus,1051866,72,72,72,72
10129-1-75.BWA,3092965,72,72,72,72
10129-1-75.BWA.virus,1577467,72,72,72,72
10129-1.BWA,4125019,72,72,72,72
10129-1.BWA.virus,2105348,72,72,72,72
10129-2-25.BWA,223316,71,71,71,71
10129-2-25.BWA.virus,219584,71,71,71,71
10129-2-50.BWA,445874,71,71,71,71
10129-2-50.BWA.virus,438381,71,71,71,71
10129-2-75.BWA,668533,71,71,71,71
10129-2-75.BWA.virus,657205,71,71,71,71
10129-2.BWA,891637,71,71,71,71
10129-2.BWA.virus,876474,71,71,71,71
10130-1-25.BWA,214114,72,72,72,72
10130-1-25.BWA.virus,91215,72,72,72,72
10130-1-50.BWA,427823,72,72,72,72
10130-1-50.BWA.virus,182190,72,72,72,72
10130-1-75.BWA,642051,72,72,72,72
10130-1-75.BWA.virus,273451,72,72,72,72
10130-1.BWA,856301,72,72,72,72
10130-1.BWA.virus,364668,72,72,72,72
10130-2-25.BWA,169357,71,71,71,71
10130-2-25.BWA.virus,136416,71,71,71,71
10130-2-50.BWA,338693,71,71,71,71
10130-2-50.BWA.virus,272494,71,71,71,71
10130-2-75.BWA,507715,71,71,71,71
10130-2-75.BWA.virus,408276,71,71,71,71
10130-2.BWA,677616,71,71,71,71
10130-2.BWA.virus,545053,71,71,71,71
10131-1-25.BWA,1161866,72,72,72,72
10131-1-25.BWA.virus,53362,72,72,72,72
10131-1-50.BWA,2325335,72,72,72,72
10131-1-50.BWA.virus,106916,72,72,72,72
10131-1-75.BWA,3487935,72,72,72,72
10131-1-75.BWA.virus,160223,72,72,72,72
10131-1.BWA,4651844,72,72,72,72
10131-1.BWA.virus,213988,72,72,72,72
10131-2-25.BWA,310116,71,71,71,71
10131-2-25.BWA.virus,169481,71,71,71,71
10131-2-50.BWA,619937,71,71,71,71
10131-2-50.BWA.virus,338487,71,71,71,71
10131-2-75.BWA,928632,71,71,71,71
10131-2-75.BWA.virus,506768,71,71,71,71
10131-2.BWA,1239539,71,71,71,71
10131-2.BWA.virus,676532,71,71,71,71
10136-1-25.BWA,1280547,72,72,72,72
10136-1-25.BWA.virus,20454,72,72,72,72
10136-1-50.BWA,2559878,72,72,72,72
10136-1-50.BWA.virus,40787,72,72,72,72
10136-1-75.BWA,3840230,72,72,72,72
10136-1-75.BWA.virus,61300,72,72,72,72
10136-1.BWA,5121943,72,72,72,72
10136-1.BWA.virus,81874,72,72,72,72
10136-2-25.BWA,255395,71,71,71,71
10136-2-25.BWA.virus,26350,71,71,71,71
10136-2-50.BWA,510960,71,71,71,71
10136-2-50.BWA.virus,52671,71,71,71,71
10136-2-75.BWA,766154,71,71,71,71
10136-2-75.BWA.virus,79332,71,71,71,71
10136-2.BWA,1021770,71,71,71,71
10136-2.BWA.virus,105735,71,71,71,71
10138-1-25.BWA,373815,72,72,72,72
10138-1-25.BWA.virus,156461,72,72,72,72
10138-1-50.BWA,747651,72,72,72,72
10138-1-50.BWA.virus,313541,72,72,72,72
10138-1-75.BWA,1121213,72,72,72,72
10138-1-75.BWA.virus,470217,72,72,72,72
10138-1.BWA,1496245,72,72,72,72
10138-1.BWA.virus,627641,72,72,72,72
10138-2-25.BWA,80874,71,71,71,71
10138-2-25.BWA.virus,6509,71,71,71,71
10138-2-50.BWA,161615,71,71,71,71
10138-2-50.BWA.virus,12968,71,71,71,71
10138-2-75.BWA,242115,71,71,71,71
10138-2-75.BWA.virus,19410,71,71,71,71
10138-2.BWA,322157,71,71,71,71
10138-2.BWA.virus,25853,71,71,71,71
