Sample,reads_mapped,average_length,average_first_fragment_length,maximum_length,maximum_first_fragment_length
10027-1-25.BWA,36659,72,72,72,72
10027-1-25.BWA.virus,11934,72,72,72,72
10027-1-50.BWA,73123,72,72,72,72
10027-1-50.BWA.virus,24156,72,72,72,72
10027-1-75.BWA,109577,72,72,72,72
10027-1-75.BWA.virus,36260,72,72,72,72
10027-1.BWA,145929,72,72,72,72
10027-1.BWA.virus,48416,72,72,72,72
10027-2-25.BWA,37827,71,71,71,71
10027-2-25.BWA.virus,1059,71,71,71,71
10027-2-50.BWA,75530,71,71,71,71
10027-2-50.BWA.virus,2102,71,71,71,71
10027-2-75.BWA,113155,71,71,71,71
10027-2-75.BWA.virus,3185,71,71,71,71
10027-2.BWA,150975,71,71,71,71
10027-2.BWA.virus,4239,71,71,71,71
10028-1-25.BWA,177818,72,72,72,72
10028-1-25.BWA.virus,50895,72,72,72,72
10028-1-50.BWA,355084,72,72,72,72
10028-1-50.BWA.virus,101442,72,72,72,72
10028-1-75.BWA,532482,72,72,72,72
10028-1-75.BWA.virus,152124,72,72,72,72
10028-1.BWA,710728,72,72,72,72
10028-1.BWA.virus,203054,72,72,72,72
10028-2-25.BWA,38919,71,71,71,71
10028-2-25.BWA.virus,2193,71,71,71,71
10028-2-50.BWA,77848,71,71,71,71
10028-2-50.BWA.virus,4508,71,71,71,71
10028-2-75.BWA,116459,71,71,71,71
10028-2-75.BWA.virus,6775,71,71,71,71
10028-2.BWA,155589,71,71,71,71
10028-2.BWA.virus,8995,71,71,71,71
10029-1-25.BWA,256889,72,72,72,72
10029-1-25.BWA.virus,201419,72,72,72,72
10029-1-50.BWA,512383,72,72,72,72
10029-1-50.BWA.virus,401917,72,72,72,72
10029-1-75.BWA,768064,72,72,72,72
10029-1-75.BWA.virus,602323,72,72,72,72
10029-1.BWA,1024719,72,72,72,72
10029-1.BWA.virus,803471,72,72,72,72
10029-2-25.BWA,94304,71,71,71,71
10029-2-25.BWA.virus,78388,71,71,71,71
10029-2-50.BWA,188400,71,71,71,71
10029-2-50.BWA.virus,156252,71,71,71,71
10029-2-75.BWA,282272,71,71,71,71
10029-2-75.BWA.virus,233951,71,71,71,71
10029-2.BWA,376042,71,71,71,71
10029-2.BWA.virus,311725,71,71,71,71
10039-1-25.BWA,175464,72,72,72,72
10039-1-25.BWA.virus,79384,72,72,72,72
10039-1-50.BWA,349942,72,72,72,72
10039-1-50.BWA.virus,158161,72,72,72,72
10039-1-75.BWA,524920,72,72,72,72
10039-1-75.BWA.virus,237093,72,72,72,72
10039-1.BWA,700531,72,72,72,72
10039-1.BWA.virus,316631,72,72,72,72
10039-2-25.BWA,17906,71,71,71,71
10039-2-25.BWA.virus,2585,71,71,71,71
10039-2-50.BWA,35666,71,71,71,71
