Strain,Isolate,GISAID
USA/WA-UW-10027/2020,WA-UW-10027,EPI_ISL_461450
USA/WA-UW-10028/2020,WA-UW-10028,EPI_ISL_461451
USA/WA-UW-10029/2020,WA-UW-10029,EPI_ISL_461452
USA/WA-UW-10030/2020,WA-UW-10030,EPI_ISL_511852
USA/WA-UW-10031/2020,WA-UW-10031,EPI_ISL_461453
USA/WA-UW-10034/2020,WA-UW-10034,EPI_ISL_511853
USA/WA-UW-10036/2020,WA-UW-10036,EPI_ISL_461454
USA/WA-UW-10038/2020,WA-UW-10038,EPI_ISL_511854
USA/WA-UW-10039/2020,WA-UW-10039,EPI_ISL_461455
USA/WA-UW-10040/2020,WA-UW-10040,EPI_ISL_461456
USA/WA-UW-10042/2020,WA-UW-10042,EPI_ISL_461457
USA/WA-UW-10088/2020,WA-UW-10088,EPI_ISL_461458
USA/WA-UW-10089/2020,WA-UW-10089,EPI_ISL_461459
USA/WA-UW-10090/2020,WA-UW-10090,EPI_ISL_461460
USA/WA-UW-10091/2020,WA-UW-10091,EPI_ISL_461461
USA/WA-UW-10093/2020,WA-UW-10093,EPI_ISL_461462
USA/WA-UW-10094/2020,WA-UW-10094,EPI_ISL_461463
USA/WA-UW-10101/2020,WA-UW-10101,EPI_ISL_511855
USA/WA-UW-10102/2020,WA-UW-10102,EPI_ISL_461464
USA/WA-UW-10105/2020,WA-UW-10105,EPI_ISL_511856
USA/WA-UW-10106/2020,WA-UW-10106,EPI_ISL_461465
USA/WA-UW-10107/2020,WA-UW-10107,EPI_ISL_461466
USA/WA-UW-10108/2020,WA-UW-10108,EPI_ISL_461467
USA/WA-UW-10113/2020,WA-UW-10113,EPI_ISL_511857
USA/WA-UW-10114/2020,WA-UW-10114,EPI_ISL_461468
USA/WA-UW-10115/2020,WA-UW-10115,EPI_ISL_511858
USA/WA-UW-10116/2020,WA-UW-10116,EPI_ISL_512086
USA/WA-UW-10117/2020,WA-UW-10117,EPI_ISL_461469
USA/WA-UW-10118/2020,WA-UW-10118,EPI_ISL_461470
USA/WA-UW-10124/2020,WA-UW-10124,EPI_ISL_511859
USA/WA-UW-10126/2020,WA-UW-10126,EPI_ISL_511860
USA/WA-UW-10127/2020,WA-UW-10127,EPI_ISL_461471
USA/WA-UW-10128/2020,WA-UW-10128,EPI_ISL_461472
USA/WA-UW-10129/2020,WA-UW-10129,EPI_ISL_461473
USA/WA-UW-10130/2020,WA-UW-10130,EPI_ISL_461474
USA/WA-UW-10131/2020,WA-UW-10131,EPI_ISL_461475
USA/WA-UW-10133/2020,WA-UW-10133,EPI_ISL_511861
USA/WA-UW-10136/2020,WA-UW-10136,EPI_ISL_461476
USA/WA-UW-10138/2020,WA-UW-10138,EPI_ISL_461477
