Accession,Error_Rate,M_Non_Primary,M_Reads_Mapped,Mapped,M_Total_Seqs,Duplication,GC,Read_Length,M_Seqs,Aligner
SRR11940001,0.00,0,0.1,0.04,1.7,0.49,0.38,72,3.3,STAR
SRR11940002,0.00,0,0.6,0.26,2.1,0.50,0.35,72,4.1,BWA
SRR11940002,0.00,0,0.2,0.07,2.1,0.50,0.35,72,4.1,STAR
SRR11940003,0.00,0,0.4,0.12,3.4,0.53,0.40,72,6.1,BWA
SRR11940003,0.00,0,0,0.01,3.4,0.53,0.40,72,6.1,STAR
SRR11940004,0.01,0,0.5,0.69,0.8,0.45,0.28,72,1.4,BWA
SRR11940004,0.00,0,0.4,0.46,0.8,0.45,0.28,72,1.4,STAR
SRR11940005,0.01,0,1,0.53,1.9,0.51,0.37,72,3,BWA
SRR11940005,0.00,0,0.8,0.44,1.9,0.51,0.37,72,3,STAR
SRR11940006,0.01,0,0.6,0.52,1.2,0.48,0.26,72,2.5,BWA
SRR11940006,0.00,0,0.3,0.23,1.2,0.48,0.26,72,2.5,STAR
SRR12100421,0.00,0,0.4,0.20,2.1,0.72,0.46,72,2.8,BWA
SRR12100421,0.00,0,0.4,0.20,2.1,0.72,0.46,72,2.8,STAR
SRR12100433,0.00,0,0.3,0.09,2.7,0.87,0.49,72,3.8,BWA
SRR12100433,0.00,0,0.2,0.09,2.7,0.87,0.49,72,3.8,STAR
SRR12188551,0.00,0,1.8,0.99,1.8,0.91,0.39,74,1.8,BWA
SRR12188551,0.00,0,1.7,0.97,1.8,0.91,0.39,74,1.8,STAR
SRR12188560,0.00,0,1.8,0.97,1.9,0.91,0.38,74,1.9,BWA
SRR12188560,0.00,0,1.8,0.96,1.9,0.91,0.38,74,1.9,STAR
SRR12188587,0.00,0,0.6,0.17,3.3,0.75,0.49,68,5,BWA
SRR12188587,0.00,0,0.5,0.17,3.3,0.75,0.49,68,5,STAR
SRR12188638,0.00,0,0.4,0.13,2.9,0.78,0.50,65,5.6,BWA
SRR12188638,0.00,0,0.4,0.13,2.9,0.78,0.50,65,5.6,STAR
SRR12188654,0.00,0,0.1,0.08,0.9,0.82,0.50,61,2.3,BWA
SRR12188654,0.00,0,0.1,0.08,0.9,0.82,0.50,61,2.3,STAR
SRR12188664,0.00,0,0.8,0.24,3.1,0.77,0.47,67,5.4,BWA
SRR12188664,0.00,0,0.7,0.24,3.1,0.77,0.47,67,5.4,STAR
SRR12188673,0.00,0,0.7,0.26,2.8,0.75,0.48,68,4.2,BWA
SRR12188673,0.00,0,0.7,0.26,2.8,0.75,0.48,68,4.2,STAR
SRR12188689,0.00,0,0.8,0.26,3.2,0.80,0.47,69,4.8,BWA
SRR12188689,0.00,0,0.8,0.26,3.2,0.80,0.47,69,4.8,STAR
SRR12188693,0.00,0,0.1,0.03,2.7,0.79,0.54,66,4.6,BWA
SRR12188693,0.00,0,0.1,0.03,2.7,0.79,0.54,66,4.6,STAR
SRR12188712,0.00,0,2.5,0.99,2.5,0.94,0.38,75,2.5,BWA
SRR12188712,0.00,0,2.4,0.99,2.5,0.94,0.38,75,2.5,STAR
SRR12232548,0.00,0,2.9,0.89,3.2,0.80,0.40,69,4.6,BWA
SRR12232548,0.00,0,2.9,0.88,3.2,0.80,0.40,69,4.6,STAR
SRR12232560,0.00,0,0.4,0.16,2.7,0.74,0.48,69,4.2,BWA
SRR12232560,0.00,0,0.4,0.16,2.7,0.74,0.48,69,4.2,STAR
SRR12352753,0.00,0,1.7,0.50,3.4,0.81,0.48,72,4.1,BWA
SRR12352753,0.00,0,1.7,0.48,3.4,0.81,0.48,72,4.1,STAR
SRR12352760,0.00,0,0.7,0.24,2.9,0.79,0.45,69,4.4,BWA
SRR12352760,0.00,0,0.7,0.23,2.9,0.79,0.45,69,4.4,STAR
SRR12352768,0.00,0,0.9,0.45,2.1,0.75,0.47,73,2.4,BWA
SRR12352768,0.00,0,0.9,0.43,2.1,0.75,0.47,73,2.4,STAR
SRR12352771,0.00,0,0.5,0.13,3.7,0.81,0.48,73,4.8,BWA
SRR12352771,0.00,0,0.3,0.09,3.7,0.81,0.48,73,4.8,STAR
SRR12352775,0.00,0,0.6,0.40,1.5,0.69,0.44,73,1.8,BWA
SRR12352775,0.00,0,0.5,0.36,1.5,0.69,0.44,73,1.8,STAR
SRR12352782,0.00,0,0.4,0.12,3.2,0.83,0.48,72,4.4,BWA
SRR12352782,0.00,0,0.4,0.11,3.2,0.83,0.48,72,4.4,STAR
SRR12352804,0.00,0,1,0.26,3.9,0.85,0.49,69,5.2,BWA
SRR12352804,0.00,0,1,0.25,3.9,0.85,0.49,69,5.2,STAR
SRR12352812,0.00,0,1.6,0.64,2.5,0.81,0.42,72,3.2,BWA
SRR12352812,0.00,0,1.6,0.63,2.5,0.81,0.42,72,3.2,STAR
SRR12352815,0.00,0,1.2,0.47,2.6,0.83,0.41,72,3.5,BWA
SRR12352815,0.00,0,1.2,0.46,2.6,0.83,0.41,72,3.5,STAR
SRR12352819,0.00,0,0.3,0.13,2.2,0.83,0.52,67,3.4,BWA
SRR12352819,0.00,0,0.3,0.12,2.2,0.83,0.52,67,3.4,STAR
SRR12352830,0.00,0,1,0.51,2,0.79,0.45,72,2.5,BWA
SRR12352830,0.00,0,1,0.49,2,0.79,0.45,72,2.5,STAR
