Isolate,Run,LibraryLayout,Bases,Virus,Host,Source,Path,Experiment,Test
WA-UW-10138,SRR11939984,SINGLE,190351152,SARS2,none,public,[],Cluster,No
WA-UW-631,SRR12100433,SINGLE,269102658,SARS2,none,public,[],Control,No
WA-UW-3048,SRR12188587,SINGLE,343139548,SARS2,none,public,[],Control,No
UNKNOWN-UW-13444,SRR12352753,SINGLE,296921735,SARS2,none,public,[],Control,No
WA-UW-1436,SRR11780039,SINGLE,158139113,SARS2,none,public,[],Control,No
UNKNOWN-UW-666,SRR12100421,SINGLE,199271323,SARS2,none,public,[],Control,No
WA-UW-3497,SRR12232560,SINGLE,287187916,SARS2,none,public,[],Control,No
CT-UW-3119,SRR12188638,SINGLE,363026941,SARS2,none,public,[],Control,No
ID-UW-4595,SRR11939926,SINGLE,266477462,SARS2,none,public,[],Control,No
FL-UW-MAYO68,SRR12232548,SINGLE,313489106,SARS2,none,public,[],Control,No
WA-UW-10381,SRR12352830,SINGLE,181480715,SARS2,none,public,[],Control,No
WA-UW-13300,SRR12352775,SINGLE,130129754,SARS2,none,public,[],Control,No
OR-UW-679,SRR12188712,SINGLE,187412811,SARS2,none,public,[],Control,No
WA-UW-11457,SRR12352815,SINGLE,253019564,SARS2,none,public,[],Control,No
WA-UW-13321,SRR12352771,SINGLE,346967218,SARS2,none,public,[],Control,No
WA-UW-11293,SRR12352819,SINGLE,231150665,SARS2,none,public,[],Control,No
OR-UW-13394,SRR12352760,SINGLE,305757659,SARS2,none,public,[],Control,No
WA-UW-2428,SRR12188689,SINGLE,332174524,SARS2,none,public,[],Control,No
WA-UW-13274,SRR12352782,SINGLE,313201744,SARS2,none,public,[],Control,No
CT-UW-2469,SRR12188560,SINGLE,141767221,SARS2,none,public,[],Control,No
WA-UW-2747,SRR12188664,SINGLE,363422212,SARS2,none,public,[],Control,No
WA-UW156,SRR11780101,SINGLE,229607745,SARS2,none,public,[],Control,No
WA-UW-12264,SRR12352804,SINGLE,359196168,SARS2,none,public,[],Control,No
WA-UW-2344,SRR12188693,SINGLE,301092463,SARS2,none,public,[],Control,No
WA-UW-2540,SRR12188551,SINGLE,135645996,SARS2,none,public,[],Control,No
UNKNOWN-UW-2847,SRR12188654,SINGLE,137777193,SARS2,none,public,[],Control,No
WA-UW-13332,SRR12352768,SINGLE,174547917,SARS2,none,public,[],Control,No
WA-UW-11566,SRR12352812,SINGLE,226155437,SARS2,none,public,[],Control,No
WA-UW-2725,SRR12188673,SINGLE,282336739,SARS2,none,public,[],Control,No
WA-UW-10040,SRR11939953-3731,SINGLE,3731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-203731,SINGLE,203731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-403731,SINGLE,403731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-603731,SINGLE,603731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-803731,SINGLE,803731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-1003731,SINGLE,1003731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-1203731,SINGLE,1203731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-1403731,SINGLE,1403731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-1603731,SINGLE,1603731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-1803731,SINGLE,1803731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-2003731,SINGLE,2003731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-2203731,SINGLE,2203731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-2403731,SINGLE,2403731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-2603731,SINGLE,2603731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-2803731,SINGLE,2803731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-3003731,SINGLE,3003731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-3203731,SINGLE,3203731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-3403731,SINGLE,3403731,SARS2,none,public,[],Control,Yes
WA-UW-10040,SRR11939953-3603731,SINGLE,3603731,SARS2,none,public,[],Control,Yes
