Isolate,Run,LibraryLayout,Bases,Virus,Host,Source,Path,Experiment,Test
WA-UW-10027,SRR11939959,SINGLE,333275688,SARS2,none,public,[],Cluster,No
WA-UW-10028,SRR11939958,SINGLE,119291328,SARS2,none,public,[],Cluster,No
WA-UW-10029,SRR11939957,SINGLE,142604784,SARS2,none,public,[],Cluster,No
WA-UW-10031,SRR11939956,SINGLE,111518064,SARS2,none,public,[],Cluster,No
WA-UW-10036,SRR11939955,SINGLE,241248528,SARS2,none,public,[],Cluster,No
WA-UW-10039,SRR11939954,SINGLE,126113472,SARS2,none,public,[],Cluster,No
WA-UW-10040,SRR11939953,SINGLE,268651584,SARS2,none,public,[],Cluster,No
WA-UW-10042,SRR11940006,SINGLE,179353656,SARS2,none,public,[],Cluster,No
WA-UW-10088,SRR11940005,SINGLE,215156448,SARS2,none,public,[],Cluster,No
WA-UW-10089,SRR11940004,SINGLE,97461000,SARS2,none,public,[],Cluster,No
WA-UW-10090,SRR11940003,SINGLE,439463880,SARS2,none,public,[],Cluster,No
WA-UW-10091,SRR11940002,SINGLE,298041480,SARS2,none,public,[],Cluster,No
WA-UW-10093,SRR11940001,SINGLE,235264752,SARS2,none,public,[],Cluster,No
WA-UW-10094,SRR11940000,SINGLE,212910624,SARS2,none,public,[],Cluster,No
WA-UW-10102,SRR11939999,SINGLE,363394656,SARS2,none,public,[],Cluster,No
WA-UW-10106,SRR11939998,SINGLE,266777712,SARS2,none,public,[],Cluster,No
WA-UW-10107,SRR11939997,SINGLE,159349248,SARS2,none,public,[],Cluster,No
WA-UW-10108,SRR11939995,SINGLE,341979120,SARS2,none,public,[],Cluster,No
WA-UW-10114,SRR11939994,SINGLE,282912912,SARS2,none,public,[],Cluster,No
WA-UW-10117,SRR11939993,SINGLE,351877392,SARS2,none,public,[],Cluster,No
WA-UW-10118,SRR11939992,SINGLE,109840536,SARS2,none,public,[],Cluster,No
WA-UW-10127,SRR11939991,SINGLE,98757144,SARS2,none,public,[],Cluster,No
WA-UW-10128,SRR11939990,SINGLE,166925808,SARS2,none,public,[],Cluster,No
WA-UW-10129,SRR11939989,SINGLE,442418976,SARS2,none,public,[],Cluster,No
WA-UW-10130,SRR11939988,SINGLE,114079536,SARS2,none,public,[],Cluster,No
WA-UW-10131,SRR11939987,SINGLE,540118656,SARS2,none,public,[],Cluster,No
WA-UW-10136,SRR11939986,SINGLE,520187904,SARS2,none,public,[],Cluster,No
