Sample,reads_mapped,reads_unmapped,non-primary_alignments,total_length,bases_mapped,bases_mapped_(cigar),mismatches,error_rate,average_length,maximum_length,average_quality,reads_mapped_percent,reads_unmapped_percent
SRR11939959-2.BWA,150975,850935,0,71135610,10719225,10118385,43993,0.004347828,71,71,34.1,15.06871875,84.93128125
SRR11939959-2.STAR,144253,857657,88333,71135610,10241963,9840112,0,0,71,71,34.1,14.3978002,85.6021998
SRR11939959.BWA,130396,3246133,0,243110088,9388512,7345893,35600,0.004846246,72,72,31.2,3.861835631,96.13816437
SRR11939959.STAR,47896,3328633,487,243110088,3448512,3402020,0,0,72,72,31.2,1.418498109,98.58150189
SRR11939984-2.BWA,322157,1220047,0,109496484,22873147,21527666,85094,0.003952774,71,71,33.9,20.88938947,79.11061053
SRR11939984-2.STAR,310243,1231961,127400,109496484,22027253,21137457,0,0,71,71,33.9,20.11685873,79.88314127
SRR11939984.BWA,791738,755322,0,111388320,57005136,52476134,365802,0.006970826,72,72,30.9,51.17694207,48.82305793
SRR11939984.STAR,618197,928863,9691,111388320,44510184,43939615,0,0,72,72,30.9,39.95947151,60.04052849
SRR11939986-2.BWA,1021770,839745,0,132167565,72545670,70041817,249011,0.003555176,71,71,34.1,54.88916286,45.11083714
SRR11939986-2.STAR,971530,889985,2948032,132167565,68978630,66766029,0,0,71,71,34.1,52.19028587,47.80971413
SRR11939986.BWA,85900,5029926,0,368339472,6184800,6022741,45468,0.007549386,72,72,31.2,1.679103238,98.32089676
SRR11939986.STAR,81101,5034725,692,368339472,5839272,5787789,0,0,72,72,31.2,1.585296294,98.41470371
SRR11939987-2.BWA,1239539,1890527,0,222234686,88007269,86023633,386262,0.004490185,71,71,34.3,39.60104995,60.39895005
SRR11939987-2.STAR,1175316,1954750,1007085,222234686,83447436,82421106,0,0,71,71,34.3,37.54924018,62.45075982
SRR11939987.BWA,579993,3594375,0,300554496,41759496,33035044,154661,0.004681725,72,72,30.8,13.89415116,86.10584884
SRR11939987.STAR,212685,3961683,2252,300554496,15313320,15152989,0,0,72,72,30.8,5.095022768,94.90497723
SRR11939988-2.BWA,677616,748722,0,101269998,48110736,47689789,139373,0.002922491,71,71,34.3,47.50739306,52.49260694
SRR11939988-2.STAR,665844,760494,72721,101269998,47274924,46946085,0,0,71,71,34.3,46.68206274,53.31793726
SRR11939988.BWA,528038,296931,0,59397768,38018736,33763147,220942,0.00654388,72,72,30.7,64.00701117,35.99298883
SRR11939988.STAR,359918,465051,3991,59397768,25914096,25627926,0,0,72,72,30.7,43.6280636,56.3719364
SRR11939989-2.BWA,891637,61729,0,67688986,63306227,62971204,149992,0.002381914,71,71,34.5,93.52515194,6.474848065
SRR11939989-2.STAR,883797,69569,36667,67688986,62749587,62454664,0,0,71,71,34.5,92.70280249,7.297197509
SRR11939989.BWA,2226920,1964677,0,301794984,160338240,155666062,1179198,0.007575177,72,72,31.2,53.12819911,46.87180089
SRR11939989.STAR,2083539,2108058,36937,301794984,150014808,148646448,0,0,72,72,31.2,49.70752198,50.29247802
SRR11939990-2.BWA,1098526,1115623,0,157204579,77995346,77510538,198463,0.002560465,71,71,34.4,49.61391487,50.38608513
SRR11939990-2.STAR,1085965,1128184,106352,157204579,77103515,76698089,0,0,71,71,34.4,49.04660888,50.95339112
SRR11939990.BWA,589270,1434861,0,145737432,42427440,38799520,303626,0.00782551,72,72,31.1,29.11224619,70.88775381
SRR11939990.STAR,489036,1535095,15573,145737432,35210592,34124720,0,0,72,72,31.1,24.16029397,75.83970603
SRR11939991-2.BWA,1697711,1157099,0,202691510,120537481,119497821,319936,0.002677337,71,71,34.4,59.46844098,40.53155902
SRR11939991-2.STAR,1668730,1186080,194080,202691510,118479830,117779223,0,0,71,71,34.4,58.4532771,41.5467229
SRR11939991.BWA,626298,235977,0,62083800,45093456,42289276,325385,0.007694268,72,72,31,72.63320866,27.36679134
SRR11939991.STAR,524879,337396,8152,62083800,37791288,37299235,0,0,72,72,31,60.87141573,39.12858427
SRR11939992-2.BWA,670071,577101,0,88549212,47575041,46978713,135072,0.002875175,71,71,34.3,53.72723249,46.27276751
SRR11939992-2.STAR,657798,589374,47681,88549212,46703658,46246619,0,0,71,71,34.3,52.74316614,47.25683386
SRR11939992.BWA,604426,309027,0,65768616,43518672,40569890,287694,0.007091319,72,72,31,66.16935956,33.83064044
SRR11939992.STAR,492617,420836,5605,65768616,35468424,35123886,0,0,72,72,31,53.92910199,46.07089801
SRR11939993-2.BWA,363982,569568,0,66282050,25842722,24834254,76533,0.003081752,71,71,34.1,38.98902041,61.01097959
SRR11939993-2.STAR,349517,584033,131944,66282050,24815707,24007241,0,0,71,71,34.1,37.43955867,62.56044133
SRR11939993.BWA,541830,2777145,0,238966200,39011760,34839344,224620,0.006447309,72,72,31.2,16.32522089,83.67477911
SRR11939993.STAR,377734,2941241,5053,238966200,27196848,26884853,0,0,72,72,31.2,11.38104385,88.61895615
SRR11939994-2.BWA,205338,718247,0,65574535,14578998,13572922,51260,0.003776637,71,71,33.8,22.23271274,77.76728726
SRR11939994-2.STAR,195946,727639,84915,65574535,13912166,13256068,0,0,71,71,33.8,21.2158058,78.7841942
SRR11939994.BWA,737194,1385584,0,152840016,53077968,42404890,209961,0.00495134,72,72,30.6,34.72779537,65.27220463
SRR11939994.STAR,303990,1818788,4291,152840016,21887280,21555224,0,0,72,72,30.6,14.32038583,85.67961417
SRR11939997-2.BWA,502378,1363046,0,132445104,35668838,34966183,126150,0.003607771,71,71,34.2,26.93103552,73.06896448
SRR11939997-2.STAR,487848,1377576,182758,132445104,34637208,34158130,0,0,71,71,34.2,26.15212413,73.84787587
SRR11939997.BWA,418272,831634,0,89993232,30115584,20174884,48582,0.002408043,72,72,30.2,33.46427651,66.53572349
SRR11939997.STAR,21844,1228062,597,89993232,1572768,1498399,0,0,72,72,30.2,1.747651423,98.25234858
SRR11939998-2.BWA,1861491,2969666,0,343012147,132165861,130351073,455017,0.003490704,71,71,34.3,38.53095646,61.46904354
SRR11939998-2.STAR,1804871,3026286,2751341,343012147,128145841,126989320,0,0,71,71,34.3,37.35898047,62.64101953
SRR11939998.BWA,213574,2246869,0,177151896,15377328,11099352,37275,0.003358304,72,72,30.9,8.680306758,91.31969324
SRR11939998.STAR,35548,2424895,339,177151896,2559456,2528189,0,0,72,72,30.9,1.444780472,98.55521953
SRR11939999-2.BWA,1967408,1076501,0,216117539,139685968,138638928,395933,0.002855857,71,71,34.2,64.63425812,35.36574188
SRR11939999-2.STAR,1941125,1102784,1342762,216117539,137819875,136999617,0,0,71,71,34.2,63.77079604,36.22920396
SRR11939999.BWA,1344828,1868412,0,231353280,96827616,89914291,638280,0.00709876,72,72,30.9,41.85270941,58.14729059
SRR11939999.STAR,1081233,2132007,17759,231353280,77848776,77073173,0,0,72,72,30.9,33.64930724,66.35069276
SRR11940000-2.BWA,193266,1511527,0,121040303,13721886,12996725,45955,0.003535891,71,71,34.3,11.33662562,88.66337438
SRR11940000-2.STAR,185451,1519342,66825,121040303,13167021,12693086,0,0,71,71,34.3,10.87821219,89.12178781
SRR11940000.BWA,945878,636896,0,113959728,68103216,58895027,374023,0.006350672,72,72,30.7,59.76077444,40.23922556
SRR11940000.STAR,587255,995519,7347,113959728,42282360,41829120,0,0,72,72,30.7,37.10289656,62.89710344
SRR11940002-2.BWA,274787,1038570,0,93248347,19509877,18419975,81142,0.004405109,71,71,33.9,20.92249099,79.07750901
SRR11940002-2.STAR,263605,1049752,83264,93248347,18715955,18019295,0,0,71,71,33.9,20.07108501,79.92891499
SRR11940002.BWA,556858,1571432,0,153236880,40093776,30092724,121963,0.004052907,72,72,30.6,26.16457344,73.83542656
SRR11940002.STAR,154425,1973865,2120,153236880,11118600,10957853,0,0,72,72,30.6,7.255825099,92.7441749
SRR11940004-2.BWA,357659,1192321,0,110048580,25393789,23886066,82241,0.003443053,71,71,33.9,23.07507194,76.92492806
SRR11940004-2.STAR,343988,1205992,120934,110048580,24423148,23377164,0,0,71,71,33.9,22.19306056,77.80693944
SRR11940004.BWA,527291,236959,0,55026000,37964952,33499668,227071,0.006778306,72,72,30.7,68.99456984,31.00543016
SRR11940004.STAR,354783,409467,3920,55026000,25544376,25256113,0,0,72,72,30.7,46.42237488,53.57762512
SRR11940005-2.BWA,313830,677291,0,70369591,22281930,21687632,68190,0.003144188,71,71,34.1,31.66414595,68.33585405
SRR11940005-2.STAR,304633,686488,49377,70369591,21628943,21188381,0,0,71,71,34.1,30.73620678,69.26379322
SRR11940005.BWA,984042,873181,0,133720056,70851024,66470840,500176,0.007524743,72,72,30.9,52.98459043,47.01540957
SRR11940005.STAR,820259,1036964,10701,133720056,59058648,58486870,0,0,72,72,30.9,44.16588638,55.83411362
SRR11940006-2.BWA,235328,2195567,0,172593545,16708288,16427586,69050,0.004203296,71,71,34.4,9.680714305,90.3192857
SRR11940006-2.STAR,226337,2204558,75808,172593545,16069927,15905443,0,0,71,71,34.4,9.31085053,90.68914947
SRR11940006.BWA,628689,576948,0,86805864,45265608,36586640,203581,0.005564353,72,72,30.4,52.14579513,47.85420487
SRR11940006.STAR,281096,924541,3425,86805864,20238912,19988798,0,0,72,72,30.4,23.31514378,76.68485622
