Sample,reads_mapped,reads_unmapped,non-primary_alignments,total_length,bases_mapped,bases_mapped_(cigar),mismatches,error_rate,average_length,maximum_length,average_quality,reads_mapped_percent,reads_unmapped_percent
SRR11939953-2.BWA,1964306,458967,0,172052383,139465726,138579945,336761,0.002430085,71,71,34.5,81.0600374,18.9399626
SRR11939953-2.STAR,1940215,483058,131345,172052383,137755265,137115813,0,0,71,71,34.5,80.0658861,19.9341139
SRR11939953.BWA,1962730,366453,0,167701176,141316560,132026276,907661,0.006874851,72,72,31.1,84.26688672,15.73311328
SRR11939953.STAR,1615512,713671,33446,167701176,116316864,115078025,0,0,72,72,31.1,69.35959948,30.64040052
SRR11939954-2.BWA,71229,570147,0,45537696,5057259,4773399,20849,0.004367747,71,71,34.2,11.10565409,88.89434591
SRR11939954-2.STAR,66697,574679,26803,45537696,4735487,4544428,0,0,71,71,34.2,10.3990483,89.6009517
SRR11939954.BWA,688885,21428,0,51142536,49599720,40227231,226177,0.005622485,72,72,30.1,96.98330173,3.016698272
SRR11939954.STAR,312463,397850,4124,51142536,22497336,22181938,0,0,72,72,30.1,43.98948069,56.01051931
SRR11939957-2.BWA,376042,2879729,0,231159741,26698982,26087845,69536,0.002665456,71,71,34.3,11.55001381,88.44998619
SRR11939957-2.STAR,369071,2886700,81888,231159741,26204041,25734867,0,0,71,71,34.3,11.3359017,88.6640983
SRR11939957.BWA,944933,300807,0,89693280,68035176,63710794,485324,0.007617611,72,72,31,75.85314753,24.14685247
SRR11939957.STAR,789182,456558,12757,89693280,56821104,56104070,0,0,72,72,31,63.35045836,36.64954164
SRR11939958-2.BWA,155589,591805,0,53064974,11046819,10246874,41670,0.004066606,71,71,33.8,20.81753399,79.18246601
SRR11939958-2.STAR,148798,598596,62877,53064974,10564658,10044473,0,0,71,71,33.8,19.90891016,80.09108984
SRR11939958.BWA,454944,281701,0,53038440,32755968,25725924,138523,0.005384569,72,72,30.3,61.75892051,38.24107949
SRR11939958.STAR,186721,549924,5810,53038440,13443912,12886946,0,0,72,72,30.3,25.3474876,74.6525124
