Replicate,Library,Path,LibraryLayout,Virus,Host,Source,Percent,Run,spID
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10027_R1.fastq.gz],SINGLE,SARS2,human,local,100,10027_1,10027
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10027_R1.fastq.gz],SINGLE,SARS2,human,local,100,10027_2,10027
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10027_R1.fastq.gz],SINGLE,SARS2,human,local,100,10027_1,10027
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10027_R1.fastq.gz],SINGLE,SARS2,human,local,100,10027_2,10027
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10028_R1.fastq.gz],SINGLE,SARS2,human,local,100,10028_1,10028
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10028_R1.fastq.gz],SINGLE,SARS2,human,local,100,10028_2,10028
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10028_R1.fastq.gz],SINGLE,SARS2,human,local,100,10028_1,10028
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10028_R1.fastq.gz],SINGLE,SARS2,human,local,100,10028_2,10028
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10029_R1.fastq.gz],SINGLE,SARS2,human,local,100,10029_1,10029
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10029_R1.fastq.gz],SINGLE,SARS2,human,local,100,10029_2,10029
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10029_R1.fastq.gz],SINGLE,SARS2,human,local,100,10029_1,10029
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10029_R1.fastq.gz],SINGLE,SARS2,human,local,100,10029_2,10029
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10039_R1.fastq.gz],SINGLE,SARS2,human,local,100,10039_1,10039
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10039_R1.fastq.gz],SINGLE,SARS2,human,local,100,10039_2,10039
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10039_R1.fastq.gz],SINGLE,SARS2,human,local,100,10039_1,10039
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10039_R1.fastq.gz],SINGLE,SARS2,human,local,100,10039_2,10039
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10040_R1.fastq.gz],SINGLE,SARS2,human,local,100,10040_1,10040
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10040_R1.fastq.gz],SINGLE,SARS2,human,local,100,10040_2,10040
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10042_R1.fastq.gz],SINGLE,SARS2,human,local,100,10042_1,10042
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10042_R1.fastq.gz],SINGLE,SARS2,human,local,100,10042_2,10042
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10042_R1.fastq.gz],SINGLE,SARS2,human,local,100,10042_1,10042
