Replicate,Library,Path,LibraryLayout,Virus,Host,Source,Percent,Run,spID
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10042_R1.fastq.gz],SINGLE,SARS2,human,local,100,10042_2,10042
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10088_R1.fastq.gz],SINGLE,SARS2,human,local,100,10088_1,10088
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10088_R1.fastq.gz],SINGLE,SARS2,human,local,100,10088_2,10088
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10088_R1.fastq.gz],SINGLE,SARS2,human,local,100,10088_1,10088
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10088_R1.fastq.gz],SINGLE,SARS2,human,local,100,10088_2,10088
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10089_R1.fastq.gz],SINGLE,SARS2,human,local,100,10089_1,10089
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10089_R1.fastq.gz],SINGLE,SARS2,human,local,100,10089_2,10089
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10089_R1.fastq.gz],SINGLE,SARS2,human,local,100,10089_1,10089
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10089_R1.fastq.gz],SINGLE,SARS2,human,local,100,10089_2,10089
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10091_R1.fastq.gz],SINGLE,SARS2,human,local,100,10091_1,10091
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10091_R1.fastq.gz],SINGLE,SARS2,human,local,100,10091_2,10091
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10091_R1.fastq.gz],SINGLE,SARS2,human,local,100,10091_1,10091
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10091_R1.fastq.gz],SINGLE,SARS2,human,local,100,10091_2,10091
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10094_R1.fastq.gz],SINGLE,SARS2,human,local,100,10094_1,10094
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10094_R1.fastq.gz],SINGLE,SARS2,human,local,100,10094_2,10094
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10094_R1.fastq.gz],SINGLE,SARS2,human,local,100,10094_2,10094
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10102_R1.fastq.gz],SINGLE,SARS2,human,local,100,10102_1,10102
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10102_R1.fastq.gz],SINGLE,SARS2,human,local,100,10102_2,10102
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10106_R1.fastq.gz],SINGLE,SARS2,human,local,100,10106_1,10106
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10106_R1.fastq.gz],SINGLE,SARS2,human,local,100,10106_2,10106
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10106_R1.fastq.gz],SINGLE,SARS2,human,local,100,10106_1,10106
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10106_R1.fastq.gz],SINGLE,SARS2,human,local,100,10106_2,10106
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10107_R1.fastq.gz],SINGLE,SARS2,human,local,100,10107_1,10107
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10107_R1.fastq.gz],SINGLE,SARS2,human,local,100,10107_2,10107
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10107_R1.fastq.gz],SINGLE,SARS2,human,local,100,10107_1,10107
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10107_R1.fastq.gz],SINGLE,SARS2,human,local,100,10107_2,10107
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100,10110_1,10110
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100,10110_2,10110
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100,10110_1,10110
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100,10110_2,10110
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100,10114_1,10114
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100,10114_2,10114
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100,10114_1,10114
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100,10114_2,10114
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100,10117_1,10117
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100,10117_2,10117
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100,10117_1,10117
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100,10117_2,10117
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100,10118_1,10118
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100,10118_2,10118
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100,10118_1,10118
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100,10118_2,10118
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10127_R1.fastq.gz],SINGLE,SARS2,human,local,100,10127_1,10127
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10127_R1.fastq.gz],SINGLE,SARS2,human,local,100,10127_2,10127
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10127_R1.fastq.gz],SINGLE,SARS2,human,local,100,10127_1,10127
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100,10128_1,10128
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100,10128_2,10128
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100,10128_1,10128
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100,10128_2,10128
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10129_R1.fastq.gz],SINGLE,SARS2,human,local,100,10129_1,10129
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10129_R1.fastq.gz],SINGLE,SARS2,human,local,100,10129_2,10129
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10129_R1.fastq.gz],SINGLE,SARS2,human,local,100,10129_2,10129
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100,10130_1,10130
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100,10130_2,10130
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100,10130_1,10130
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100,10130_2,10130
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100,10131_1,10131
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100,10131_2,10131
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100,10131_1,10131
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100,10131_2,10131
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100,10136_1,10136
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100,10136_2,10136
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100,10136_1,10136
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100,10136_2,10136
1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100,10138_1,10138
2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100,10138_2,10138
1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100,10138_1,10138
2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100,10138_2,10138
