Run,Replicate,Library,Path,LibraryLayout,Virus,Host,Source,Percent
10110,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100
10110,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100
10110,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100
10114,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100
10114,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100
10114,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100
10114,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100
10117,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100
10117,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100
10117,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100
10117,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100
10118,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100
10118,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100
10118,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100
10118,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100
10127,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10127_R1.fastq.gz],SINGLE,SARS2,human,local,100
10127,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10127_R1.fastq.gz],SINGLE,SARS2,human,local,100
10127,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10127_R1.fastq.gz],SINGLE,SARS2,human,local,100
10128,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100
10128,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100
10128,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100
10128,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100
10129,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10129_R1.fastq.gz],SINGLE,SARS2,human,local,100
10129,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10129_R1.fastq.gz],SINGLE,SARS2,human,local,100
10129,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10129_R1.fastq.gz],SINGLE,SARS2,human,local,100
10130,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100
10130,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100
10130,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100
10130,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100
10131,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100
10131,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100
10131,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100
10131,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100
10136,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100
10136,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100
10136,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100
10136,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100
10138,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100
10138,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100
10138,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100
10138,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100
